CG	OMIM_ID	REF_SEQ	e_value	gene	description	disease
CG30132-PC	603072	NP_940839	1e-44	ARK1;AURKA;AURORA2;BTAK;STK15	AURORA-RELATED KINASE 1; ARK1;AURORA2;BTAK;SERINE/THREONINE PROTEIN KINASE 15; STK15;STK6, MOUSE, HOMOLOG OF	{Colon cancer, susceptibility to}, 114500 (3)
CG30132-PD	603072	NP_940839	1e-44	ARK1;AURKA;AURORA2;BTAK;STK15	AURORA-RELATED KINASE 1; ARK1;AURORA2;BTAK;SERINE/THREONINE PROTEIN KINASE 15; STK15;STK6, MOUSE, HOMOLOG OF	{Colon cancer, susceptibility to}, 114500 (3)
CG30132-PE	603072	NP_940839	1e-44	ARK1;AURKA;AURORA2;BTAK;STK15	AURORA-RELATED KINASE 1; ARK1;AURORA2;BTAK;SERINE/THREONINE PROTEIN KINASE 15; STK15;STK6, MOUSE, HOMOLOG OF	{Colon cancer, susceptibility to}, 114500 (3)
CG30132-PG	603072	NP_940839	1e-44	ARK1;AURKA;AURORA2;BTAK;STK15	AURORA-RELATED KINASE 1; ARK1;AURORA2;BTAK;SERINE/THREONINE PROTEIN KINASE 15; STK15;STK6, MOUSE, HOMOLOG OF	{Colon cancer, susceptibility to}, 114500 (3)
CG10537-PB	137164	NP_944493	1e-44	GABRG2;GEFSP3;CAE2;ECA2	GABA-A RECEPTOR, GAMMA-2 POLYPEPTIDE	Epilepsy, childhood absence, 607681 (3);Epilepsy, generalized, with febrile seizures plus, 604233 (3);Myoclonic epilepsy, severe, of infancy, 607208 (3)
CG10537-PC	137164	NP_944493	1e-44	GABRG2;GEFSP3;CAE2;ECA2	GABA-A RECEPTOR, GAMMA-2 POLYPEPTIDE	Epilepsy, childhood absence, 607681 (3);Epilepsy, generalized, with febrile seizures plus, 604233 (3);Myoclonic epilepsy, severe, of infancy, 607208 (3)
CG6847-PA	609252	NP_945347	1e-44	LIPI;LPDL;PRED5	LPD LIPASE; LPDL;PRED5	{Hypertriglyceridemia, susceptibility to}, 145750 (3)
CG18657-PA	608400	NP_996816	1e-44	USH2A	USH2; US2;USHERIN	Retinitis pigmentosa, AR, without hearing loss, 268000 (3);Usher syndrome, type 2A, 276901 (3)
CG1128-PA	177400	NP_000046	2e-44	BCHE;CHE1	ACYLCHOLINE ACYLHYDROLASE;BUTYRYLCHOLINESTERASE DEFICIENCY, FLUORIDE-RESISTANT, JAPANESE TYPE,;PSEUDOCHOLINESTERASE E1; CHE1	Apnea, postanesthetic (3)
CG12789-PA	173510	NP_000063	2e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG12789-PB	173510	NP_000063	2e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG17348-PA	164860	NP_000236	2e-44	MET	HEPATOCYTE GROWTH FACTOR RECEPTOR; HGFR;ONCOGENE MET;RENAL CELL CARCINOMA, PAPILLARY, 2 GENE; RCCP2	Hepatocellular carcinoma, childhood type, 114550 (3);Renal cell carcinoma, papillary, familial and sporadic, 605074 (3)
CG1520-PA	300392	NP_000368	2e-44	IMD2;THC;WAS	WAS PROTEIN; WASP	Neutropenia, severe congenital, X-linked, 300299 (3);Thrombocytopenia, X-linked, 313900 (3);Thrombocytopenia, X-linked, intermittent, 313900 (3);Wiskott-Aldrich syndrome, 301000 (3)
CG1520-PB	300392	NP_000368	2e-44	IMD2;THC;WAS	WAS PROTEIN; WASP	Neutropenia, severe congenital, X-linked, 300299 (3);Thrombocytopenia, X-linked, 313900 (3);Thrombocytopenia, X-linked, intermittent, 313900 (3);Wiskott-Aldrich syndrome, 301000 (3)
CG32702-PA	600276	NP_000426	2e-44	CADASIL;CASIL;NOTCH3		Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy, 125310 (3)
CG5527-PA	300550	NP_000435	2e-44	HPDR1;HYP;PHEX	PEX	Hypophosphatemia, X-linked, 307800 (3)
CG17324-PA	191740	NP_000454	2e-44	GNT1;UGT1;UGT1A1	GNT1;PHENOL/BILIRUBIN UDP-GLUCURONOSYLTRANSFERASE;UDP-GLYCOSYLTRANSFERASE 1;URIDINE DIPHOSPHATE GLUCURONOSYLTRANSFERASE, BILIRUBIN/PHENOL;URIDINE DIPHOSPHATE GLYCOSYLTRANSFERASE 1 FAMILY, POLYPEPTIDE A1;URIDINE DIPHOSPHATE GLYCOSYLTRANSFERASE 1; UGT1	Crigler-Najjar syndrome, type I, 218800 (3);Crigler-Najjar syndrome, type II, 606785 (3);Hyperbilirubinemia, familial transcient neonatal, 237900 (3);[Gilbert syndrome], 143500 (3)
CG12414-PA	118507	NP_000739	2e-44	CHRNB2;EFNL3	ACETYLCHOLINE RECEPTOR, NEURONAL NICOTINIC, BETA-2 SUBUNIT	Epilepsy, nocturnal frontal lobe, 3, 605375 (3)
CG12789-PA	173510	NP_001001547	2e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG12789-PB	173510	NP_001001547	2e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG12789-PA	173510	NP_001001548	2e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG12789-PB	173510	NP_001001548	2e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG10244-PA	191315	NP_001007793	2e-44	MTC;NTRK1;TRKA	TYROSINE KINASE RECEPTOR A; TRKA;TYROSINE KINASE RECEPTOR; TRK	Insensitivity to pain, congenital, with anhidrosis, 256800 (3);Medullary thyroid carcinoma, familial, 155240 (3)
CG10244-PA	191315	NP_001012331	2e-44	MTC;NTRK1;TRKA	TYROSINE KINASE RECEPTOR A; TRKA;TYROSINE KINASE RECEPTOR; TRK	Insensitivity to pain, congenital, with anhidrosis, 256800 (3);Medullary thyroid carcinoma, familial, 155240 (3)
CG3751-PA	602412	NP_001017	2e-44	DBA3;RPS24		Diamond-blackfan anemia, 610629 (3)
CG32975-PA	100690	NP_001034612	2e-44	ACHRD;CHRNA1;CMS2A;FCCMS;SCCMS	ACETYLCHOLINE RECEPTOR, MUSCLE, ALPHA SUBUNIT; ACHRA;CHRNA	Myasthenic syndrome, fast-channel congenital, 608930 (3);Myasthenic syndrome, slow-channel congenital, 601462 (3)
CG7285-PA	182455	NP_001044	2e-44	SSTR5		Acromegaly, 102200 (3)
CG8137-PA	107280	NP_001076	2e-44	AACT;ACT;SERPINA3	ANTICHYMOTRYPSIN, ALPHA-1; ACT;SERPINA3	Alpha-1-antichymotrypsin deficiency (3);Cerebrovascular disease, occlusive (3)
CG31175-PA	601239	NP_001381	2e-44	D18S892E;DRP3;DTNA;LVNC1	D18S892E;DYSTROBREVIN;DYSTROPHIN-RELATED PROTEIN 3; DRP3	Left ventricular noncompaction with congenital heart defects, 606617 (3);Left ventricular noncompaction, familial isolated, 1, 604169 (3)
CG31175-PB	601239	NP_001381	2e-44	D18S892E;DRP3;DTNA;LVNC1	D18S892E;DYSTROBREVIN;DYSTROPHIN-RELATED PROTEIN 3; DRP3	Left ventricular noncompaction with congenital heart defects, 606617 (3);Left ventricular noncompaction, familial isolated, 1, 604169 (3)
CG31175-PC	601239	NP_001381	2e-44	D18S892E;DRP3;DTNA;LVNC1	D18S892E;DYSTROBREVIN;DYSTROPHIN-RELATED PROTEIN 3; DRP3	Left ventricular noncompaction with congenital heart defects, 606617 (3);Left ventricular noncompaction, familial isolated, 1, 604169 (3)
CG1112-PA	114840	NP_001798	2e-44	BSSL;CEL;CELL;MODY8	BILE SALT-DEPENDENT LIPASE; BSDL;BILE SALT-STIMULATED LIPASE; BSSL;CARBOXYL-ESTER HYDROLASE;CHOLESTEROL ESTERASE;LYSOPHOSPHOLIPASE	Maturity-onset diabetes of the young, type VIII, 609812 (3)
CG10244-PA	191315	NP_002520	2e-44	MTC;NTRK1;TRKA	TYROSINE KINASE RECEPTOR A; TRKA;TYROSINE KINASE RECEPTOR; TRK	Insensitivity to pain, congenital, with anhidrosis, 256800 (3);Medullary thyroid carcinoma, familial, 155240 (3)
CG18340-PA	602044	NP_003347	2e-44	UCP3		{Obesity, severe, and type II diabetes}, 601665 (3)
CG14396-PA	600997	NP_004433	2e-44	CAPB;DRT;EPHB2;EPHT3;ERK;PCBC	DEVELOPMENTALLY REGULATED EPH-RELATED TYROSINE KINASE; DRT;ELK-RELATED TYROSINE KINASE; ERK;EPH TYROSINE KINASE 3; EPHT3;HEK5	Prostate cancer, progression and metastasis of, 603688 (3)
CG14396-PB	600997	NP_004433	2e-44	CAPB;DRT;EPHB2;EPHT3;ERK;PCBC	DEVELOPMENTALLY REGULATED EPH-RELATED TYROSINE KINASE; DRT;ELK-RELATED TYROSINE KINASE; ERK;EPH TYROSINE KINASE 3; EPHT3;HEK5	Prostate cancer, progression and metastasis of, 603688 (3)
CG14396-PC	600997	NP_004433	2e-44	CAPB;DRT;EPHB2;EPHT3;ERK;PCBC	DEVELOPMENTALLY REGULATED EPH-RELATED TYROSINE KINASE; DRT;ELK-RELATED TYROSINE KINASE; ERK;EPH TYROSINE KINASE 3; EPHT3;HEK5	Prostate cancer, progression and metastasis of, 603688 (3)
CG14396-PD	600997	NP_004433	2e-44	CAPB;DRT;EPHB2;EPHT3;ERK;PCBC	DEVELOPMENTALLY REGULATED EPH-RELATED TYROSINE KINASE; DRT;ELK-RELATED TYROSINE KINASE; ERK;EPH TYROSINE KINASE 3; EPHT3;HEK5	Prostate cancer, progression and metastasis of, 603688 (3)
CG14396-PE	600997	NP_004433	2e-44	CAPB;DRT;EPHB2;EPHT3;ERK;PCBC	DEVELOPMENTALLY REGULATED EPH-RELATED TYROSINE KINASE; DRT;ELK-RELATED TYROSINE KINASE; ERK;EPH TYROSINE KINASE 3; EPHT3;HEK5	Prostate cancer, progression and metastasis of, 603688 (3)
CG7304-PA	601756	NP_004473	2e-44	GALNT3;HFTC;HHS	3; GALNT3;GalNAc TRANSFERASE 3; GalNAcT3;POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE 3	Hyperostosis-hyperphosphatemia syndrome, 610233 (3);Tumoral calcinosis, hyperphosphatemic, familial, 211900 (3)
CG5093-PA	604614	NP_005140	2e-44	TBS19	T-BOX FACTOR, PITUITARY; TPIT	Adrenocorticotropic hormone deficiency, 201400 (3)
CG8049-PA	131550	NP_005219	2e-44	EGFR	ERBB1;ONCOGENE ERBB;V-ERB-B AVIAN ERYTHROBLASTIC LEUKEMIA VIRAL ONCOGENE HOMOLOG	Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980 (3);Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980 (3);{Nonsmall cell lung cancer, susceptibility to}, 211980 (3)
CG8049-PB	131550	NP_005219	2e-44	EGFR	ERBB1;ONCOGENE ERBB;V-ERB-B AVIAN ERYTHROBLASTIC LEUKEMIA VIRAL ONCOGENE HOMOLOG	Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980 (3);Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980 (3);{Nonsmall cell lung cancer, susceptibility to}, 211980 (3)
CG8049-PC	131550	NP_005219	2e-44	EGFR	ERBB1;ONCOGENE ERBB;V-ERB-B AVIAN ERYTHROBLASTIC LEUKEMIA VIRAL ONCOGENE HOMOLOG	Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980 (3);Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980 (3);{Nonsmall cell lung cancer, susceptibility to}, 211980 (3)
CG8049-PD	131550	NP_005219	2e-44	EGFR	ERBB1;ONCOGENE ERBB;V-ERB-B AVIAN ERYTHROBLASTIC LEUKEMIA VIRAL ONCOGENE HOMOLOG	Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980 (3);Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, 211980 (3);{Nonsmall cell lung cancer, susceptibility to}, 211980 (3)
CG14992-PA	190090	NP_005408	2e-44	ASV;SRC;SRC1	AVIAN SARCOMA VIRUS; ASV;ONCOGENE SRC;PROTOONCOGENE SRC;SRC ONCOGENE	Colon cancer, advanced (3)
CG18247-PA	190090	NP_005408	2e-44	ASV;SRC;SRC1	AVIAN SARCOMA VIRUS; ASV;ONCOGENE SRC;PROTOONCOGENE SRC;SRC ONCOGENE	Colon cancer, advanced (3)
CG4917-PA	606201	NP_005996	2e-44	DFNA6;WFRS;WFS;WFS1	WOLFRAMIN	Hearing loss, low-frequency sensorineural, 600965 (3);Wolfram syndrome, 222300 (3);Wolfram-like syndrome, autosomal dominant, 222300 (3)
CG4917-PB	606201	NP_005996	2e-44	DFNA6;WFRS;WFS;WFS1	WOLFRAMIN	Hearing loss, low-frequency sensorineural, 600965 (3);Wolfram syndrome, 222300 (3);Wolfram-like syndrome, autosomal dominant, 222300 (3)
CG10229-PA	601023	NP_009057	2e-44	IBMPFD;VCP	CDC48, YEAST, HOMOLOG OF;p97	Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia, 167320 (3)
CG14396-PA	600997	NP_059145	2e-44	CAPB;DRT;EPHB2;EPHT3;ERK;PCBC	DEVELOPMENTALLY REGULATED EPH-RELATED TYROSINE KINASE; DRT;ELK-RELATED TYROSINE KINASE; ERK;EPH TYROSINE KINASE 3; EPHT3;HEK5	Prostate cancer, progression and metastasis of, 603688 (3)
CG14396-PB	600997	NP_059145	2e-44	CAPB;DRT;EPHB2;EPHT3;ERK;PCBC	DEVELOPMENTALLY REGULATED EPH-RELATED TYROSINE KINASE; DRT;ELK-RELATED TYROSINE KINASE; ERK;EPH TYROSINE KINASE 3; EPHT3;HEK5	Prostate cancer, progression and metastasis of, 603688 (3)
CG14396-PC	600997	NP_059145	2e-44	CAPB;DRT;EPHB2;EPHT3;ERK;PCBC	DEVELOPMENTALLY REGULATED EPH-RELATED TYROSINE KINASE; DRT;ELK-RELATED TYROSINE KINASE; ERK;EPH TYROSINE KINASE 3; EPHT3;HEK5	Prostate cancer, progression and metastasis of, 603688 (3)
CG14396-PD	600997	NP_059145	2e-44	CAPB;DRT;EPHB2;EPHT3;ERK;PCBC	DEVELOPMENTALLY REGULATED EPH-RELATED TYROSINE KINASE; DRT;ELK-RELATED TYROSINE KINASE; ERK;EPH TYROSINE KINASE 3; EPHT3;HEK5	Prostate cancer, progression and metastasis of, 603688 (3)
CG14396-PE	600997	NP_059145	2e-44	CAPB;DRT;EPHB2;EPHT3;ERK;PCBC	DEVELOPMENTALLY REGULATED EPH-RELATED TYROSINE KINASE; DRT;ELK-RELATED TYROSINE KINASE; ERK;EPH TYROSINE KINASE 3; EPHT3;HEK5	Prostate cancer, progression and metastasis of, 603688 (3)
CG4821-PA	605511	NP_076927	2e-44	DFNB10;DFNB8;ECHOS1;TMPRSS3		Deafness, autosomal recessive 10, congenital, 605316 (3);Deafness, autosomal recessive 8, childhood onset, 601072 (3)
CG4821-PB	605511	NP_076927	2e-44	DFNB10;DFNB8;ECHOS1;TMPRSS3		Deafness, autosomal recessive 10, congenital, 605316 (3);Deafness, autosomal recessive 8, childhood onset, 601072 (3)
CG4821-PD	605511	NP_076927	2e-44	DFNB10;DFNB8;ECHOS1;TMPRSS3		Deafness, autosomal recessive 10, congenital, 605316 (3);Deafness, autosomal recessive 8, childhood onset, 601072 (3)
CG32311-PB	188840	NP_597676	2e-44	CMD1G;HMERF;LGMD2J;MPRM;TMD;TTN	CONNECTIN	Cardiomyopathy, dilated, 1G, 604145 (3);Cardiomyopathy, familial hypertrophic, 9 (3);Muscular dystrophy, limb-girdle, type 2J, 608807 (3);Myopathy, proximal, with early respiratory muscle involvement, 603689 (3);Tibial muscular dystrophy, tardive, 600334 (3)
CG5873-PA	606765	NP_783653	2e-44	TPO;TPX	THYROPEROXIDASE	Goiter, congenital (3);Hyperthyroidism, congenital (3);Thyroid hormone organification defect IIA, 274500 (3);Total iodide organification defect, 274500 (3)
CG8246-PA	606597	NP_852122	2e-44	CDHS;HUP2;PAX3;WS1	PAIRED DOMAIN GENE HuP2; HUP2	Craniofacial-deafness-hand syndrome, 122880 (3);Rhabdomyosarcoma, alveolar, 268220 (3);Waardenburg syndrome, type I, 193500 (3);Waardenburg syndrome, type III, 148820 (3)
CG8246-PA	606597	NP_852123	2e-44	CDHS;HUP2;PAX3;WS1	PAIRED DOMAIN GENE HuP2; HUP2	Craniofacial-deafness-hand syndrome, 122880 (3);Rhabdomyosarcoma, alveolar, 268220 (3);Waardenburg syndrome, type I, 193500 (3);Waardenburg syndrome, type III, 148820 (3)
CG8246-PA	606597	NP_852124	2e-44	CDHS;HUP2;PAX3;WS1	PAIRED DOMAIN GENE HuP2; HUP2	Craniofacial-deafness-hand syndrome, 122880 (3);Rhabdomyosarcoma, alveolar, 268220 (3);Waardenburg syndrome, type I, 193500 (3);Waardenburg syndrome, type III, 148820 (3)
CG8246-PA	606597	NP_852125	2e-44	CDHS;HUP2;PAX3;WS1	PAIRED DOMAIN GENE HuP2; HUP2	Craniofacial-deafness-hand syndrome, 122880 (3);Rhabdomyosarcoma, alveolar, 268220 (3);Waardenburg syndrome, type I, 193500 (3);Waardenburg syndrome, type III, 148820 (3)
CG8246-PA	606597	NP_852126	2e-44	CDHS;HUP2;PAX3;WS1	PAIRED DOMAIN GENE HuP2; HUP2	Craniofacial-deafness-hand syndrome, 122880 (3);Rhabdomyosarcoma, alveolar, 268220 (3);Waardenburg syndrome, type I, 193500 (3);Waardenburg syndrome, type III, 148820 (3)
CG14992-PA	190090	NP_938033	2e-44	ASV;SRC;SRC1	AVIAN SARCOMA VIRUS; ASV;ONCOGENE SRC;PROTOONCOGENE SRC;SRC ONCOGENE	Colon cancer, advanced (3)
CG18247-PA	190090	NP_938033	2e-44	ASV;SRC;SRC1	AVIAN SARCOMA VIRUS; ASV;ONCOGENE SRC;PROTOONCOGENE SRC;SRC ONCOGENE	Colon cancer, advanced (3)
CG11715-PB	608614	NP_997235	2e-44	BCD;CYP4V2	CYP4V2	Bietti crystalline corneoretinal dystrophy, 210370 (3)
CG3969-PA	300300	NP_000052	3e-44	AGMX1;AT;BTK;IMD1;XLA	AGAMMAGLOBULINEMIA TYROSINE KINASE; ATK;B-CELL PROGENITOR KINASE; BPK	Agammaglobulinemia, type 1, X-linked (3);XLA and isolated growth hormone deficiency, 307200 (3)
CG3969-PB	300300	NP_000052	3e-44	AGMX1;AT;BTK;IMD1;XLA	AGAMMAGLOBULINEMIA TYROSINE KINASE; ATK;B-CELL PROGENITOR KINASE; BPK	Agammaglobulinemia, type 1, X-linked (3);XLA and isolated growth hormone deficiency, 307200 (3)
CG4280-PA	173510	NP_000063	3e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG4280-PB	173510	NP_000063	3e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG9696-PA	609413	NP_000115	3e-44	ARMD5;CKN2;COFS1;CSB;ERCC6	CSB GENE;RAD26, S. CEREVISIAE, HOMOLOG OF	Cerebrooculofacioskeletal syndrome 1, 214150 (3);Cockayne syndrome, type B, 133540 (3);De Sanctis-Cacchione syndrome, 278800 (3);{Macular degeneration, age-related, susceptibility to 5} (3)
CG9696-PD	609413	NP_000115	3e-44	ARMD5;CKN2;COFS1;CSB;ERCC6	CSB GENE;RAD26, S. CEREVISIAE, HOMOLOG OF	Cerebrooculofacioskeletal syndrome 1, 214150 (3);Cockayne syndrome, type B, 133540 (3);De Sanctis-Cacchione syndrome, 278800 (3);{Macular degeneration, age-related, susceptibility to 5} (3)
CG9696-PE	609413	NP_000115	3e-44	ARMD5;CKN2;COFS1;CSB;ERCC6	CSB GENE;RAD26, S. CEREVISIAE, HOMOLOG OF	Cerebrooculofacioskeletal syndrome 1, 214150 (3);Cockayne syndrome, type B, 133540 (3);De Sanctis-Cacchione syndrome, 278800 (3);{Macular degeneration, age-related, susceptibility to 5} (3)
CG8095-PA	607759	NP_000410	3e-44	CD41B;GP2B;ITGA2B	CD41B;GP2B;PLATELET FIBRINOGEN RECEPTOR, ALPHA SUBUNIT;PLATELET GLYCOPROTEIN IIb; GPIIb	Glanzmann thrombasthenia, type A, 273800 (3);Thrombocytopenia, neonatal alloimmune (1)
CG32465-PB	100740	NP_000656	3e-44	ACHE;YT	ACETYLCHOLINE ACETYLHYDROLASE	[Blood group, Yt system], 112100 (3)
CG18247-PA	147370	NP_000866	3e-44	IGF1R		Intrauterine and postnatal growth retardation (3)
CG11824-PA	229000	NP_000883	3e-44	KLK3;KLKB1	FLETCHER FACTOR DEFICIENCY; PKK DEFICIENCY;KLK3, FORMERLY	Fletcher factor deficiency (1);Prekallikrein deficiency (3)
CG4280-PA	173510	NP_001001547	3e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG4280-PB	173510	NP_001001547	3e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG4280-PA	173510	NP_001001548	3e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG4280-PB	173510	NP_001001548	3e-44	CD36	COLLAGEN RECEPTOR, PLATELET;FATTY ACID TRANSLOCASE; FAT;GLYCOPROTEIN IIIb;GP3B;GP IIIb;LEUKOCYTE DIFFERENTIATION ANTIGEN CD36;PLATELET GLYCOPROTEIN IV; GP4;THROMBOSPONDIN RECEPTOR	Platelet glycoprotein IV deficiency, 608404 (3);[Macrothrombocytopenia] (1);{Malaria, cerebral, reduced risk of}, 248310 (3);{Malaria, cerebral, susceptibility to}, 248310 (3)
CG3319-PA	300203	NP_001032420	3e-44	CDKL5;ISSX;STK9	SERINE/THREONINE PROTEIN KINASE 9; STK9	Infantile spasm syndrome, X-linked, 308350 (3);Rett syndrome, atypical, 312750 (3)
CG7597-PA	300203	NP_001032420	3e-44	CDKL5;ISSX;STK9	SERINE/THREONINE PROTEIN KINASE 9; STK9	Infantile spasm syndrome, X-linked, 308350 (3);Rett syndrome, atypical, 312750 (3)
CG7597-PB	300203	NP_001032420	3e-44	CDKL5;ISSX;STK9	SERINE/THREONINE PROTEIN KINASE 9; STK9	Infantile spasm syndrome, X-linked, 308350 (3);Rett syndrome, atypical, 312750 (3)
CG1380-PA	138190	NP_001033	3e-44	SLC2A4;GLUT4	4; SLC2A4;GLUCOSE TRANSPORTER 4; GLUT4;GLUCOSE TRANSPORTER, INSULIN-RESPONSIVE	{Diabetes mellitus, noninsulin-dependent} (3)
CG1380-PB	138190	NP_001033	3e-44	SLC2A4;GLUT4	4; SLC2A4;GLUCOSE TRANSPORTER 4; GLUT4;GLUCOSE TRANSPORTER, INSULIN-RESPONSIVE	{Diabetes mellitus, noninsulin-dependent} (3)
CG14026-PA	600799	NP_001195	3e-44	BMPR2;PPH1		Pulmonary hypertension, familial primary, 178600 (3)
CG14026-PB	600799	NP_001195	3e-44	BMPR2;PPH1		Pulmonary hypertension, familial primary, 178600 (3)
CG14026-PC	600799	NP_001195	3e-44	BMPR2;PPH1		Pulmonary hypertension, familial primary, 178600 (3)
CG14026-PD	600799	NP_001195	3e-44	BMPR2;PPH1		Pulmonary hypertension, familial primary, 178600 (3)
CG5284-PB	602727	NP_001278	3e-44	CLC7;CLCN7;OPTA2	CLC7	Osteopetrosis, autosomal dominant, type II, 166600 (3);Osteopetrosis, recessive, 259700 (3)
